,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat,knn_stalk_root,kmns_stalk_root
0,edible,convex,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
1,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
2,edible,flat,scaly,purple,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,equal,3.0
3,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
4,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
5,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,woods,bulbous,0.0
6,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
7,edible,flat,smooth,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
8,edible,knobbed,smooth,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
9,edible,convex,scaly,green,no,none,free,close,narrow,pink,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
10,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,smooth,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
11,poisonous,knobbed,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
12,edible,convex,smooth,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
13,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,white,pink,white,one,evanescent,white,several,woods,club,0.0
14,edible,convex,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
15,edible,convex,scaly,purple,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,equal,3.0
16,edible,convex,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
17,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,silky,smooth,white,pink,white,one,evanescent,white,several,woods,bulbous,0.0
18,edible,knobbed,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
19,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
20,poisonous,flat,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,yellow,white,one,evanescent,white,several,woods,bulbous,0.0
21,edible,flat,smooth,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
22,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
23,edible,convex,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
24,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,smooth,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
25,edible,convex,scaly,purple,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
26,edible,flat,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
27,edible,convex,scaly,purple,no,none,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
28,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
29,edible,flat,scaly,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,rooted,3.0
30,edible,flat,scaly,purple,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
31,edible,flat,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
32,edible,convex,scaly,purple,no,none,free,close,narrow,white,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,bulbous,3.0
33,edible,flat,smooth,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
34,edible,flat,scaly,purple,no,none,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
35,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
36,edible,convex,smooth,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
37,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,smooth,silky,pink,white,white,one,evanescent,white,several,paths,bulbous,0.0
38,edible,flat,scaly,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,equal,3.0
39,edible,flat,scaly,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
40,poisonous,knobbed,fibrous,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
41,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,silky,white,pink,white,one,evanescent,white,several,paths,bulbous,0.0
42,edible,convex,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
43,poisonous,bell,fibrous,yellow,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
44,edible,knobbed,scaly,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
45,edible,flat,scaly,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,rooted,3.0
46,edible,knobbed,scaly,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
47,edible,knobbed,smooth,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
48,edible,flat,scaly,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
49,edible,flat,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
50,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
51,edible,flat,scaly,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
52,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,smooth,pink,white,white,one,evanescent,white,several,woods,bulbous,0.0
53,edible,flat,scaly,pink,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
54,edible,convex,scaly,green,no,none,free,close,narrow,pink,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,equal,3.0
55,edible,flat,scaly,white,no,none,free,close,narrow,chocolate,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
56,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,pink,white,white,one,evanescent,white,several,paths,bulbous,0.0
57,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,pink,white,white,one,evanescent,white,several,leaves,bulbous,0.0
58,edible,flat,smooth,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
59,edible,knobbed,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
60,edible,convex,scaly,red,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
61,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,smooth,silky,white,white,white,one,evanescent,white,several,paths,bulbous,0.0
62,edible,knobbed,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
63,edible,knobbed,smooth,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
64,poisonous,flat,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
65,edible,flat,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
66,edible,flat,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
67,edible,convex,smooth,pink,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste,equal,3.0
68,edible,knobbed,smooth,brown,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
69,edible,flat,scaly,purple,no,none,free,close,narrow,white,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,bulbous,3.0
70,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,,smooth,smooth,white,pink,white,one,evanescent,white,several,leaves,bulbous,0.0
71,edible,flat,smooth,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,white,white,white,two,evanescent,white,clustered,waste,equal,3.0
72,edible,convex,smooth,brown,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,bulbous,3.0
73,poisonous,convex,scaly,brown,no,foul,free,close,narrow,buff,tapering,,silky,silky,pink,pink,white,one,evanescent,white,several,paths,bulbous,0.0
74,poisonous,convex,scaly,brown,no,none,free,close,narrow,white,enlarging,,silky,scaly,white,brown,white,one,evanescent,white,several,woods,bulbous,0.0
75,edible,flat,scaly,purple,no,none,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,bulbous,3.0
76,edible,convex,scaly,red,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
77,edible,knobbed,smooth,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste,rooted,3.0
78,edible,flat,scaly,purple,no,none,free,close,narrow,pink,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods,bulbous,3.0
79,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
80,poisonous,convex,scaly,red,no,fishy,free,close,narrow,buff,tapering,,silky,silky,white,white,white,one,evanescent,white,several,leaves,bulbous,0.0
81,edible,knobbed,scaly,buff,bruises,none,free,close,broad,red,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,equal,3.0
82,edible,flat,scaly,buff,bruises,none,free,close,broad,white,enlarging,,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste,rooted,3.0
83,edible,convex,scaly,white,no,none,free,close,narrow,purple,enlarging,,smooth,fibrous,white,white,white,one,flaring,chocolate,solitary,woods,equal,3.0
